Close,High,Low,Open,Volume,Scaled_Close,Rolling_Mean,Volatility,Crash,title,sentiment,Sentiment_Score
1132.989990234375,1133.8699951171875,1116.56005859375,1116.56005859375,3991400000.0,0.0217870416484315,,,0.0,,,
1136.52001953125,1136.6300048828125,1129.6600341796875,1132.6600341796875,2491020000.0,0.0224836172667456,,,0.0,,,
1137.1400146484375,1139.18994140625,1133.949951171875,1135.7099609375,4972660000.0,0.0226059600140109,,,0.0,,,
1141.68994140625,1142.4599609375,1131.3199462890625,1136.27001953125,5270680000.0,0.0235037905355346,,,0.0,,,
1144.97998046875,1145.3900146484375,1136.219970703125,1140.52001953125,4389590000.0,0.0241530092250983,,,0.0,,,
1146.97998046875,1149.739990234375,1142.02001953125,1145.9599609375,4255780000.0,0.0245476663566586,,,0.0,,,
1136.219970703125,1143.81005859375,1131.77001953125,1143.81005859375,4716160000.0,0.0224244090618278,,,1.0,,,
1145.6800537109375,1148.4000244140625,1133.1800537109375,1137.31005859375,4170360000.0,0.0242911536739202,,,0.0,,,
1148.4599609375,1150.4100341796875,1143.800048828125,1145.6800537109375,3915200000.0,0.0248397087799396,,,0.0,,,
1136.030029296875,1147.77001953125,1131.3900146484375,1147.719970703125,4758730000.0,0.0223869281965502,0.02330232847587173,0.0010911989341248398,1.0,,,
1150.22998046875,1150.449951171875,1135.77001953125,1136.030029296875,4724830000.0,0.025188984195444,0.02364252273057298,0.0010965851210807006,0.0,,,
1138.0400390625,1147.949951171875,1129.25,1147.949951171875,4810560000.0,0.022783560540805,0.02367251705797892,0.0010650116286572689,1.0,,,
1116.47998046875,1141.5799560546875,1114.8399658203125,1138.6800537109375,6874290000.0,0.018529145100365,0.02326483556661433,0.0019397289932386532,1.0,,,
1091.760009765625,1115.489990234375,1090.1800537109375,1115.489990234375,6208650000.0,0.0136511887353908,0.02227957538659995,0.0035981579670097026,1.0,,,
1096.780029296875,1102.969970703125,1092.4000244140625,1092.4000244140625,4481390000.0,0.0146417819896806,0.021328452663058182,0.004246573207689774,0.0,,,
1092.1700439453125,1103.68994140625,1089.8599853515625,1095.800048828125,4731910000.0,0.0137321001919894,0.02024689604659126,0.004689752931040565,1.0,,,
1097.5,1099.510009765625,1083.1099853515625,1091.93994140625,5319120000.0,0.014783852775932,0.01948284041800168,0.004912676480263514,0.0,,,
1084.530029296875,1100.219970703125,1078.4599609375,1096.9300537109375,5452400000.0,0.0122245070588742,0.01827617575649708,0.005079508315329892,1.0,,,
1073.8699951171875,1096.449951171875,1071.5899658203125,1087.6099853515625,5412850000.0,0.0101209778030294,0.01680430265880606,0.005098756125903072,1.0,,,
1089.18994140625,1089.3800048828125,1073.8900146484375,1073.8900146484375,4077610000.0,0.0131440408320785,0.01588001392235889,0.004803523456163331,0.0,,,
1103.3199462890625,1104.72998046875,1087.9599609375,1090.050048828125,4749540000.0,0.01593229443007,0.01495434494582149,0.0035346179034463007,0.0,,,
1097.280029296875,1102.719970703125,1093.969970703125,1100.6700439453125,4285450000.0,0.0147404462725706,0.01415003351899805,0.00222914235143788,1.0,,,
1063.1099853515625,1097.25,1062.780029296875,1097.25,5859690000.0,0.0079977205081986,0.01309689105978141,0.002410738184630207,1.0,,,
1066.18994140625,1067.1300048828125,1044.5,1064.1199951171875,6438900000.0,0.0086054838191358,0.01259232056815591,0.0027813766901273337,0.0,,,
1056.739990234375,1071.199951171875,1056.510009765625,1065.510009765625,4089820000.0,0.0067407385076976,0.011802216219957608,0.00322184519789849,1.0,,,
1070.52001953125,1079.280029296875,1060.06005859375,1060.06005859375,5114260000.0,0.0094599319252579,0.01137499939328446,0.00322075353009818,0.0,,,
1068.1300048828125,1073.6700439453125,1059.3399658203125,1069.6800537109375,4251450000.0,0.0089883137624883,0.01079544549194009,0.003056440183993745,0.0,,,
1078.469970703125,1080.0400390625,1060.5899658203125,1067.0999755859375,4400870000.0,0.011028684388026,0.01067586322485527,0.0030174607356284263,0.0,,,
1075.510009765625,1077.81005859375,1062.969970703125,1075.949951171875,4160680000.0,0.0104445995414639,0.01070822539869872,0.0030125798389876797,1.0,,,
1094.8699951171875,1095.6700439453125,1079.1300048828125,1079.1300048828125,4080770000.0,0.0142648776844118,0.01082030908393205,0.0031317671033654366,0.0,,,
1099.510009765625,1101.030029296875,1094.719970703125,1096.1400146484375,4259230000.0,0.0151804851201867,0.010745128152943722,0.0030017384938964007,0.0,,,
1106.75,1108.239990234375,1097.47998046875,1099.030029296875,3878620000.0,0.016609142009398,0.010931997726626461,0.003319451010962843,0.0,,,
1109.1700439453125,1112.4200439453125,1100.800048828125,1105.489990234375,3944280000.0,0.0170866858102514,0.011840894256831741,0.003654191941586149,0.0,,,
1108.010009765625,1112.2900390625,1105.3800048828125,1110.0,3814440000.0,0.0168577779293178,0.01266612366784994,0.0037722565305190027,0.0,,,
1094.5999755859375,1108.5799560546875,1092.1800537109375,1107.489990234375,4521050000.0,0.0142115951175777,0.013413209328837949,0.003158167486333747,1.0,,,
1105.239990234375,1106.4200439453125,1095.5,1095.8900146484375,4168360000.0,0.0163111739480333,0.01409833353111549,0.002940937904528034,0.0,,,
1102.93994140625,1103.5,1086.02001953125,1101.239990234375,4521130000.0,0.0158573086115551,0.01478523301602217,0.002359506165347222,0.0,,,
1104.489990234375,1107.239990234375,1097.56005859375,1103.0999755859375,3945190000.0,0.0161631775236982,0.015298682329589388,0.0019792309279255175,0.0,,,
1115.7099609375,1116.1099853515625,1105.3599853515625,1105.3599853515625,3847640000.0,0.0183771982506408,0.01609194220050708,0.0012857649659344427,0.0,,,
